sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
112,DIBANG MULTIPURPOSE PROJECT 2880 MW ARUNACHAL PRADESH,NHPC,N18000362,,,,2-2023,2/2032,N.A.,31876.39,N.A.,3380.24,15.81,2025-06,FR_JUNE_2025.pdf
113,HUNLI TO HAYULIANG PKG-1,NHIDCL,N24002222,,,,2-2024,2/2028,N.A.,1262.43,N.A.,12.12,2.76,2025-06,FR_JUNE_2025.pdf
114,HUNLI TO ITHUN BRIDGE SECTION,NHIDCL,N24002223,,,,2-2024,1/2027,N.A.,275.50,N.A.,7.61,7.88,2025-06,FR_JUNE_2025.pdf
115,PANGO TO JORGING ROAD PKG-1,NHIDCL,N24002224,,,,1-2024,7/2027,N.A.,898.19,N.A.,16.01,4.25,2025-06,FR_JUNE_2025.pdf
116,TWO LANING OF JORAM KOLORIANG ROAD (NH 713) ON EPC BASIS FROM DESIGN KM. 138+000 TO KM. 154+036 [EX,NHIDCL,N24000683,,,,2-2017,11/2023,Mar-2024,180.57,244.10,160.46,96.62,2025-06,FR_JUNE_2025.pdf
117,CONSTRUCTION OF 2-LANE ROAD WITH PAVED SHOULDERS FROM KM16.00 OF ROING-HUNLI SECTION TO KM 21.500 OF,NHIDCL,N24000946,,,,3-2017,3/2022,Jun-2025,1718.59,1718.59,742.36,73.84,2025-06,FR_JUNE_2025.pdf
118,TWO-LANING OF HAYULIANG? HAWAI BYPASS ROAD ON EPC BASIS FROM DESIGN KM. 51.825 TO KM. 63.131 EXISTI,NHIDCL,N24000979,,,,1-2017,5/2023,May-2023,256.66,N.A.,0.00,63.59,2025-06,FR_JUNE_2025.pdf
119,CONSTRUCTION OF 2-LANING WITH HARD SHOULDERS OF ARROWA- KHUPA-HAYULIANG SECTION OF NH- 113 FROM CH.68.,NHIDCL,N24001244,,,,8-2020,4/2022,Apr-2025,301.06,N.A.,205.71,100.00,2025-06,FR_JUNE_2025.pdf
120,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN SECTION OF NH 13 FROM KM 163.59 TO KM 206.66 (PACKAGE,MoRTH,N24001297,,,,3-2019,3/2027,N.A.,450.65,N.A.,398.18,95.84,2025-06,FR_JUNE_2025.pdf
121,4 LANING OF ITANAGAR TO BANDARDEWA SECTION OF NH-415 FROM KM 40+430 TO KM 51+735 (PACKAGE B) ON EPC,MoRTH,N24001375,,,,6-2020,3/2027,N.A.,496.47,N.A.,194.62,44.56,2025-06,FR_JUNE_2025.pdf
122,JORAM ? KOLORIANG ROAD FROM EXISTING KM 50.050 TO KM 70.00 (PKG- 3),NHIDCL,N24001390,,,,8-2020,4/2022,Aug-2024,228.71,N.A.,98.86,99.52,2025-06,FR_JUNE_2025.pdf
123,JORAM ? KOLORIANG ROAD FROM EXISTING KM122.600 TO KM138.00 (PKG-7),NHIDCL,N24001393,,,,8-2020,4/2022,Feb-2024,184.88,N.A.,99.32,97.42,2025-06,FR_JUNE_2025.pdf
124,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT LGBI AIRPORT GUWAHATI,AAI,N04000083,,,,12-2016,3/2021,Sep-2025,1142.00,N.A.,1948.45,89.66,2025-06,FR_JUNE_2025.pdf
125,TIKAK EXTENSION OCP - 0.2 MTY,CIL,N06000290,,,,7-2022,11/2030,N.A.,159.77,N.A.,81.45,,2025-06,FR_JUNE_2025.pdf
126,TIRAP OCP,CIL,N06000291,,,,11-2022,11/2027,N.A.,289.46,N.A.,105.59,,2025-06,FR_JUNE_2025.pdf
127,"ALL INDIA INSTITUTE OF MEDICAL SCIENCE AT GUWAHATI, ASSAM",HITES,N21000027,,,,5-2017,5/2021,Apr-2023,875.00,873.92,796.74,99.62,2025-06,FR_JUNE_2025.pdf
128,DEVELOPMENT OF SURFACE FACILITIES FOR PRODUCTION AND EVACUATION OF CRUDE OIL AND NATURAL GAS FROM NA,OIL,N16000331,,,,1-2018,2/2020,Jun-2025,543.91,726.93,491.56,93.98,2025-06,FR_JUNE_2025.pdf
129,NUMALIGARH REFINERY EXPANSION PROJECT 6 MMTPA REFINARY,NRL,N16000379,,,,1-2019,10/2024,N.A.,12366.00,N.A.,16357.82,74.92,2025-06,FR_JUNE_2025.pdf
130,NUMALIGARH REFINERY EXPANSION PROJECT COIT AND PIPELINES,NRL,N16000394,,,,1-2019,10/2024,N.A.,10228.00,N.A.,9579.31,85.10,2025-06,FR_JUNE_2025.pdf
131,EXPANSION OF GUWAHATI REFINERY FROM 1 TO 1.2 MMTPA ALONG WITH INSTALLATION OF CATALYTIC REFORMING UN,IOCL,N16000414,,,,5-2021,10/2023,May-2026,412.00,595.20,396.15,83.40,2025-06,FR_JUNE_2025.pdf
132,"REVAMPING OF FACILITIES AT EXISTING GUWAHATI TERMINAL, ASSAM",IOCL,N16000441,,,,3-2022,7/2026,Sep-2026,277.00,N.A.,181.63,67.67,2025-06,FR_JUNE_2025.pdf
133,UPGRADATION OF FACILITIES OF NUMALIGARH-SILIGURI PRODUCT PIPELINE (NSPL) FOR TRANSPORTATION OF ADDIT,OIL,N16000449,,,,6-2021,12/2024,Jul-2025,860.00,N.A.,535.46,97.50,2025-06,FR_JUNE_2025.pdf
134,"PROJECT TO CONSTRUCT A FIELD GAS GATHERING STATION AT BAGHJAN AREA FOR COLLECTION,PROCESSING",OIL,N16000450,,,,12-2020,7/2024,Jun-2025,430.76,N.A.,320.71,83.94,2025-06,FR_JUNE_2025.pdf
135,CAPACITY EXPANSION OF DIGBOI REFINERY FROM 0.65 TO 1.0 MMTPA,IOCL,N16000457,,,,6-2022,10/2025,N.A.,768.00,N.A.,101.15,34.60,2025-06,FR_JUNE_2025.pdf
136,"CONSTRUCTION OF LPG FACILITIES AT KAMARDANGA, ASSAM",HPCL,N16000484,,,,3-2023,7/2027,Jul-2027,156.36,156.36,44.33,35.40,2025-06,FR_JUNE_2025.pdf
137,"SETTING UP OF NEW RAIL FED POL FACILITY AT KAMARDANGA, ASSAM",HPCL,N16000494,,,,3-2023,7/2027,Jul-2027,384.04,N.A.,97.54,44.00,2025-06,FR_JUNE_2025.pdf
138,POWER RECOVERY TURBINE IN PFCCU,NRL,N16000510,,,,3-2023,7/2025,N.A.,293.50,N.A.,97.22,92.00,2025-06,FR_JUNE_2025.pdf
139,DCU REVAMP PROJECT,NRL,N16000511,,,,8-2021,3/2025,N.A.,370.00,N.A.,255.51,55.00,2025-06,FR_JUNE_2025.pdf
140,PIPELINE NETWORK PROJECT RUDRASAGAR,ONGC,N16000528,,,,1-2023,4/2026,N.A.,344.99,N.A.,208.56,46.30,2025-06,FR_JUNE_2025.pdf
141,BORHOLLA GGS LIFE EXTENSION PROJECT,ONGC,N16000532,,,,9-2023,5/2026,N.A.,198.70,N.A.,99.52,27.30,2025-06,FR_JUNE_2025.pdf
142,BONGAIGAON-GOALPARA-GUWAHATI (176 KM),NFR,N22000388,,,,4-2015,3/2026,N.A.,4059.65,N.A.,3668.09,92.31,2025-06,FR_JUNE_2025.pdf
143,JOGIGHOPA BRIDGE,NHIDCL,N24001434,,,,8-2021,11/2024,N.A.,746.76,N.A.,344.27,67.85,2025-06,FR_JUNE_2025.pdf
144,DABOKA KATHKATI PACKAGE-6,NHIDCL,N24001450,,,,9-2021,7/2024,N.A.,625.64,N.A.,556.44,100.00,2025-06,FR_JUNE_2025.pdf
145,DABOKA KATHKATI PACKAGE-7,NHIDCL,N24001537,,,,11-2021,7/2024,N.A.,204.10,N.A.,143.66,96.80,2025-06,FR_JUNE_2025.pdf
146,FOUR LANING OF SRIRAMPUR-DHUBRI PKG-2,NHIDCL,N24001544,,,,3-2022,1/2025,N.A.,909.02,N.A.,532.44,100.00,2025-06,FR_JUNE_2025.pdf
147,"6L STANDALONE FLYOVERS AT RAHA, DEMOW, BORGHAT, KATHIATALI JUNCTIONS AND ROB AT JAGIROAD ON STRETCHE",NHAI,N24001545,,,,8-2022,12/2022,Sep-2024,175.00,N.A.,209.02,100.00,2025-06,FR_JUNE_2025.pdf
148,BALANCE WORK OF 4L OF NARIMBANGLO?JATINGA JUNCTION- HARANGAJO ROAD SECTION FROM KM 0.000 TO KM 49.23,NHAI,N24001547,,,,3-2022,1/2026,N.A.,1909.98,N.A.,683.00,78.92,2025-06,FR_JUNE_2025.pdf
149,"6L STANDALONE FLYOVERS AT BONGAIGAON, CHAPAGURI, PATHSALA, SIMLAGURI CHOWK AND BAIHATA BYPASS JUNCTI",NHAI,N24001548,,,,3-2022,6/2024,N.A.,457.72,N.A.,366.34,100.00,2025-06,FR_JUNE_2025.pdf
150,SRIRAMPUR - DHUBRI PKG-1,NHIDCL,N24001831,,,,3-2022,2/2025,N.A.,613.89,N.A.,110.76,35.77,2025-06,FR_JUNE_2025.pdf
151,DIBRUGARH-LAHOAL-CHABUA BYPASS PACKAGE-3,NHIDCL,N24001832,,,,1-2023,5/2025,N.A.,458.59,N.A.,205.87,66.12,2025-06,FR_JUNE_2025.pdf
152,CONSTRUCTION OF MANGALDOI BYPASS (NH-15) STARTING AT CH 26+400 AND TERMINATING AT CH 41+505 UNDER RA,MoRTH,N24001840,,,,3-2022,4/2025,N.A.,535.03,N.A.,102.23,34.54,2025-06,FR_JUNE_2025.pdf
153,WIDENING AND UPGRADATION TO TWO LANES WITH PAVED SHOULDERS ROAD FROM TAMENGLONG TO MAHUR (NH-137) I,NHIDCL,N24001969,,,,3-2023,8/2025,N.A.,904.04,N.A.,409.15,68.26,2025-06,FR_JUNE_2025.pdf
154,WIDENING AND UPGRADATION TO TWO LANES WITH PAVED SHOULDERS ROAD FROM TAMENGLONG TO MAHUR (NH-137) IN,NHIDCL,N24001970,,,,3-2023,8/2025,N.A.,860.37,N.A.,417.17,68.60,2025-06,FR_JUNE_2025.pdf
155,WIDENING AND UPGRADATION TO TWO LANES WITH PAVED SHOULDERS ROAD FROM TAMENGLONG TO MAHUR (NH-137) IN,NHIDCL,N24001971,,,,3-2023,8/2025,N.A.,890.33,N.A.,467.83,65.56,2025-06,FR_JUNE_2025.pdf
156,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED SHOULDER FROM KM 0+800 (KANDULIJAN GAON) TO KM 27+701 (SI,NHIDCL,N24001972,,,,3-2023,4/2026,N.A.,609.16,N.A.,323.24,98.48,2025-06,FR_JUNE_2025.pdf
157,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED SHOULDER FROM KM 27+701 (SIMEN CHAPORI) TO KM 55+000 (NAG,NHIDCL,N24001973,,,,3-2023,2/2026,N.A.,562.05,N.A.,303.89,99.06,2025-06,FR_JUNE_2025.pdf
158,BILASIPURA-GUWAHATI ROAD PKG-8,NHIDCL,N24002021,,,,3-2023,12/2026,N.A.,1457.59,N.A.,551.88,47.50,2025-06,FR_JUNE_2025.pdf
159,BILASIPURA-GUWAHATI ROAD PKG-9,NHIDCL,N24002022,,,,3-2023,6/2026,N.A.,1000.27,N.A.,308.11,29.01,2025-06,FR_JUNE_2025.pdf
160,BILASIPURA-GUWAHATI ROAD PKG-10,NHIDCL,N24002023,,,,3-2023,6/2026,N.A.,1264.90,N.A.,425.17,27.99,2025-06,FR_JUNE_2025.pdf
161,DABOKA BYPASS OF DABOKA - PAROKHAOWA PKG -1,NHIDCL,N24002024,,,,1-2023,11/2025,N.A.,516.88,N.A.,242.92,75.51,2025-06,FR_JUNE_2025.pdf
162,2 LANE WITH PAVED SHOULDER FROM KM 16+900 (BOGAPANI) TO KM 27+150 (GOLAI GAON) ON EXISTING DIBRUGARH,NHIDCL,N24002025,,,,1-2023,12/2025,N.A.,356.65,N.A.,134.02,18.15,2025-06,FR_JUNE_2025.pdf
163,DEVELOPMENT OF EXTERNAL TRUNK CONNECTIVITY AND INTERNAL INFRASTRUCTURE WORKS AT MULTI MODEL LOGISTIC,NHIDCL,N24002030,,,,2-2020,3/2022,N.A.,592.06,N.A.,308.87,100.00,2025-06,FR_JUNE_2025.pdf
164,SILCHAR VAIRENGTE SAIRANG ROAD PKG-1,NHIDCL,N24002127,,,,2-2023,7/2026,N.A.,1256.90,N.A.,539.19,40.36,2025-06,FR_JUNE_2025.pdf
165,SILCHAR VAIRENGTE SAIRANG ROAD PKG-2,NHIDCL,N24002128,,,,3-2023,8/2026,N.A.,1716.21,N.A.,989.94,64.56,2025-06,FR_JUNE_2025.pdf
166,FOUR LANNING OF BADARPUR BYPASS FROM DESIGN CHAINAGE KM 27+300 AT CROSSING WITH NH-6,NHIDCL,N24002129,,,,2-2023,8/2026,N.A.,574.26,N.A.,297.70,54.97,2025-06,FR_JUNE_2025.pdf
167,TAMENGLONG- MAHUR ROAD PKG-7,NHIDCL,N24002130,,,,12-2023,3/2026,N.A.,846.82,N.A.,407.11,68.95,2025-06,FR_JUNE_2025.pdf
168,CONSTRUCTION OF 4-LANE PANCHGRAM BYPASS FROM DESIGN CHAINAGE KM 15+500 ON NH-37 (OLD NH-53) AT KALIN,NHIDCL,N24002154,,,,3-2023,2/2027,N.A.,728.97,N.A.,290.90,43.16,2025-06,FR_JUNE_2025.pdf
169,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED SHOULDER FROM KM 55+000 (NAGABANG GAMSUK) TO KM 82+514 (OY,NHIDCL,N24002155,,,,3-2023,3/2027,N.A.,665.47,N.A.,213.67,50.88,2025-06,FR_JUNE_2025.pdf
170,BILASIPURA- GUWAHATI ROAD PKG-1,NHIDCL,N24002225,,,,2-2024,8/2027,N.A.,1081.15,N.A.,33.93,2.76,2025-06,FR_JUNE_2025.pdf
171,SILCHAR-JIRIBAM PKG-1,NHIDCL,N24002226,,,,1-2024,1/2028,N.A.,957.95,N.A.,0.00,21.98,2025-06,FR_JUNE_2025.pdf
172,BILASIPURA- GUWAHATI ROAD PKG-2,NHIDCL,N24002229,,,,11-2023,6/2027,N.A.,1338.61,N.A.,0.50,,2025-06,FR_JUNE_2025.pdf
173,BADARPUR ? CHURAIBARI PKG-6,NHIDCL,N24002230,,,,3-2024,3/2027,N.A.,870.00,N.A.,0.00,5.86,2025-06,FR_JUNE_2025.pdf
174,KARIMGANI - SUTARKANDI SECTION ON SILCHAR-CHURAIBARI PKG-7,NHIDCL,N24002231,,,,2-2024,2/2027,N.A.,791.79,N.A.,0.00,1.02,2025-06,FR_JUNE_2025.pdf
175,CONSTRUCTION OF 4 LANE GAURIPUR BYPASS ON NH-17 IN THE STATE OF ASSAM,MoRTH,N24002237,,,,3-2024,10/2026,N.A.,421.15,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
176,CONSTRUCTION OF 2 LANE BARPETA BYPASS FROM KM 77+900(BARADI) TO KM 86+150( DEURIKUCHI) (LENGTH=8.25K,MoRTH,N24002238,,,,3-2023,8/2026,N.A.,173.65,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
177,SILCHAR- CHURAIBARI PKG-5,NHIDCL,N24002243,,,,2-2024,10/2027,N.A.,1258.13,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
178,4 LANING OF JORHAT TO JHANJI SECTION FROM KM. 453.00 TO KM. 491.08 (DESIGN KM 403.200 TO KM 454.240),NHIDCL,N24000319,,,,6-2015,8/2023,N.A.,437.39,N.A.,586.89,97.43,2025-06,FR_JUNE_2025.pdf
179,FOUR LANING OF JHANJHI JN TO DEMOW SECTION FROM KM. 491.050 TO KM. 535.250(DESIGN KM 490.800 TO KM 5,NHIDCL,N24000320,,,,6-2015,3/2024,N.A.,463.49,N.A.,517.62,78.19,2025-06,FR_JUNE_2025.pdf
180,4 LANING FROM JAMUGURI TO BISWANATH CHARIALI FROM KM 182 TO KM 208 OF NH-52,NHIDCL,N24000431,,,,1-1991,6/2019,Jun-2019,520.01,N.A.,306.13,98.42,2025-06,FR_JUNE_2025.pdf
181,4 LANING FROM RANGAGARA TO KALIABHOR TINALI FROM KM 297.00 TO KM 315.315 OF NH-37 ON EPC BASIS.,NHIDCL,N24000438,,,,12-2015,12/2018,Jul-2021,289.99,N.A.,233.23,88.03,2025-06,FR_JUNE_2025.pdf
182,4 LANING OF NH-37 SECTION BETWEEN DEMOW TO END OF MORAN BYPASS (FROM KM. 534.800 TO KM. 561.700) O,NHIDCL,N24000582,,,,1-2016,1/2016,N.A.,294.17,N.A.,396.49,98.40,2025-06,FR_JUNE_2025.pdf
183,4 LANING OF NH 37 SECTION BETWEEN END OF MORAN BYPASS TO BOGIBEEL JUNCTION NEAR LAPETKETA (KM. 561,NHIDCL,N24000583,,,,1-2016,12/2021,N.A.,252.00,N.A.,242.97,95.42,2025-06,FR_JUNE_2025.pdf
184,4-LANING OF HAPACHARA - TULUNGIA SECTION,NHIDCL,N24001246,,,,3-2020,12/2022,N.A.,220.20,N.A.,217.31,97.76,2025-06,FR_JUNE_2025.pdf
185,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- IB),NHIDCL,N24001269,,,,3-2020,3/2022,Jun-2025,216.49,241.52,114.38,87.02,2025-06,FR_JUNE_2025.pdf
186,4-L DHUBRI PHULBARI BRIDGE WITH APPROACH ROAD,NHIDCL,N24001326,,,,11-2020,9/2028,N.A.,4997.04,N.A.,2464.49,62.82,2025-06,FR_JUNE_2025.pdf
187,2-LANING FROM YAINGANGPOKPI TO FINCH CORNER (PKG-I),NHIDCL,N24001331,,,,3-2020,6/2022,May-2025,261.13,N.A.,70.08,57.50,2025-06,FR_JUNE_2025.pdf
188,2-LANING FROM YAINGANGPOKPI TO FINCH CORNER (PKG-II),NHIDCL,N24001332,,,,3-2020,6/2022,Apr-2025,217.50,N.A.,89.21,68.03,2025-06,FR_JUNE_2025.pdf
189,DABOKA KATHKATI PACKAGE-5,NHIDCL,N24001366,,,,3-2021,1/2023,N.A.,288.85,N.A.,247.78,100.00,2025-06,FR_JUNE_2025.pdf
190,TULUNGIA-JOGIGHOPA-PAIKAN ROAD PKG-7,NHIDCL,N24001368,,,,3-2021,1/2024,N.A.,286.72,N.A.,159.30,82.90,2025-06,FR_JUNE_2025.pdf
191,CONSTRUCTION OF 2-LANE MAJOR BRIDGE INCLUDING APPROACHESOVER BRAHMAPUTRA BETWEEN MAJULI ON NORTH BAN,MoRTH,N24001408,,,,2-2021,7/2025,N.A.,925.47,1019.17,192.50,30.65,2025-06,FR_JUNE_2025.pdf
192,"CONSTRUCTION OF NEW DORNESTIC TERMINAL BUILDING AND OTHER STRUCTURES, PHASE I AND II",AAI,N04000082,,,,5-2018,10/2022,Nov-2025,1216.90,N.A.,1029.05,93.14,2025-06,FR_JUNE_2025.pdf
193,"DARBHANGA:DEVELOPMENT OF NEW CIVIL ENCLAVE AT DARBHANGA, BIHAR. SH- CONSTRUCTION OF NEW TERMINAL BUI",AAI,N04000112,,,,7-2024,7/2026,N.A.,911.66,N.A.,113.58,20.75,2025-06,FR_JUNE_2025.pdf
194,CONSTRUCTION OF ACADEMIC AND RESIDENTIAL COMPLEX UNDER PHASE-II FOR THE CAMPUS OF IIT PATNA,CPWD EDUCATION,N28000100,,,,2-2016,6/2017,N.A.,496.18,496.00,390.15,100.00,2025-06,FR_JUNE_2025.pdf
195,PERMANENT CAMPUS FOR IIM BODH GAYA,CPWD EDUCATION,N42000009,,,,9-2018,9/2020,N.A.,375.00,N.A.,342.18,100.00,2025-06,FR_JUNE_2025.pdf
196,BARAUNI REFINERY CAPACITY EXPANSION FROM 6.0 TO 9.0 MMTPA,IOCL,N16000386,,,,1-2020,4/2023,Aug-2026,14810.00,18113.00,11055.42,89.00,2025-06,FR_JUNE_2025.pdf
197,"CGD PROJECT AT KHAGARIA, SAHARSA AND MADHEPURA",IOCL,N16000423,,,,6-2019,12/2029,Mar-2030,163.00,N.A.,96.08,40.10,2025-06,FR_JUNE_2025.pdf
198,INSTALLATION OF BITUMEN MANUFACTURING UNIT ALONG WITH ALLIED FACILITIES AT BARAUNI,IOCL,N16000453,,,,1-2022,4/2025,N.A.,389.00,N.A.,38.25,35.40,2025-06,FR_JUNE_2025.pdf
199,CITY GAS DISTRIBUTION PROJECTS AT GOPALGANJ SIWAN WEST CHAMPARAN EAST CHAMPARAN AND DEORIA DISTRICTS,BPCL,N16000523,,,,12-2022,6/2030,N.A.,3919.00,N.A.,382.99,13.60,2025-06,FR_JUNE_2025.pdf
200,"CITY GAS DISTRIBUTION PROJECTS AT DARBHANGA, MADHUBANI, SUPAUL, SITAMARHI AND SHEOHAR DISTRICTS",BPCL,N16000524,,,,12-2022,3/2030,N.A.,3638.00,N.A.,390.34,20.80,2025-06,FR_JUNE_2025.pdf
201,BARH STPP(3X660MW) NTPC,NTPC,180100242,,,,2-2005,10/2011,Jul-2023,8692.97,21312.11,22561.37,95.00,2025-06,FR_JUNE_2025.pdf
202,BUXAR THERMAL POWER PLANT (1320 MW),SJVN,N18000194,,,,3-2019,1/2024,N.A.,10439.09,N.A.,11845.16,91.56,2025-06,FR_JUNE_2025.pdf
203,EASTERN REGION EXPANSION SCHEME: 43 [ERES: 43],PGCIL,N18000421,,,,5-2025,5/2026,N.A.,343.00,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
204,EASTERN REGION EXPANSION SCHEME: 44 [ERES: 44],PGCIL,N18000422,,,,5-2025,5/2026,N.A.,409.00,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
205,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR),ECR,220100257,,,,4-1997,12/2024,N.A.,614.45,614.45,483.57,52.00,2025-06,FR_JUNE_2025.pdf
206,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR",ECR,220100303,,,,4-2003,12/2014,N.A.,2066.78,2087.36,2454.59,73.00,2025-06,FR_JUNE_2025.pdf
207,"NEW B.G. LINE FROM ARARIA TO GALGALIA (THAKURGUNG), NEFR",NFR,N22000087,,,,9-2006,12/2024,N.A.,2650.00,2132.03,4074.75,92.00,2025-06,FR_JUNE_2025.pdf
208,SAKRI-HASANPUR ROAD (NL),ECR,N22000171,,,,4-1999,N.A.,3/2027,325.00,735.20,604.94,78.00,2025-06,FR_JUNE_2025.pdf
209,ARARIA-SUPAUL (NL),ECR,N22000177,,,,4-2008,3/2024,N.A.,1605.17,1605.17,1749.92,65.00,2025-06,FR_JUNE_2025.pdf
210,JAYNAGAR-BIJALPURA INCLUDING EXTENSION BIJALPURA- BARDIBAS(NEPAL) GC,ECR,N22000181,,,,4-2009,3/2022,N.A.,819.00,548.00,566.62,75.00,2025-06,FR_JUNE_2025.pdf
211,SAMASTIPUR-DARBANGHA,ECR,N22000329,,,,5-2015,3/2025,N.A.,519.33,519.33,651.94,80.00,2025-06,FR_JUNE_2025.pdf
212,KIUL - GAYA DOUBLING PROJECT,ECR,N22000349,,,,12-2015,9/2024,N.A.,2462.11,1200.20,1896.91,99.00,2025-06,FR_JUNE_2025.pdf
213,RAMPUR DUMRA - TAL - RAJENDRAPUL DOUBLING INCLUDING GANGA BRIDGE,ECR,N22000350,,,,12-2015,12/2024,N.A.,2373.64,1491.47,1776.70,77.00,2025-06,FR_JUNE_2025.pdf
214,SAGAULI VALMIKINAGAR DOUBLING 109.7 KM,ECR,N22000472,,,,4-2016,12/2024,N.A.,1215.54,1215.54,1595.74,91.00,2025-06,FR_JUNE_2025.pdf
215,MUZAFFARPUR SAGAULI DOUBLING 100.60 KM,ECR,N22000473,,,,4-2016,6/2024,N.A.,1586.22,1185.73,1487.54,96.00,2025-06,FR_JUNE_2025.pdf
216,"FATUHA-ISLAMPUR INCL. MM FOR EXTENSION OF NEW LINE FORM BIHARSHARIF-BARBIGHA, DANIYAWAN- BIHARSHARIF,",ECR,N22000476,,,,4-1991,3/2023,N.A.,1473.30,803.09,2794.05,90.00,2025-06,FR_JUNE_2025.pdf
217,BARAUNI- BACHWARA 3RD AND 4TH LINE,ECR,N22000524,,,,7-2022,7/2027,N.A.,486.00,N.A.,135.31,33.00,2025-06,FR_JUNE_2025.pdf
218,JHAJHA - BATIA (UMBRELLA WORK PB#23/2018-19/NR),ECR,N22000526,,,,2-2019,6/2028,N.A.,496.47,N.A.,22.55,,2025-06,FR_JUNE_2025.pdf
219,SONENAGAR BYE PASS LINE FROM CHIRALAPOTHU TO BAGHA BISHUNPUR,ECR,N22000528,,,,10-2022,10/2027,N.A.,234.00,223.69,22.57,,2025-06,FR_JUNE_2025.pdf
220,KATIHAR-KUMEDPUR AND KATIHAR- MUKURIA (64.5 KM) (UMBRELLA WORK PB#57/2019-20/NR),NFR,N22000570,,,,8-2022,8/2027,N.A.,745.00,N.A.,356.14,35.00,2025-06,FR_JUNE_2025.pdf
221,4L GREENFIELD ALIGNMENT FROM KALYANAPUR TO TAL DASHRAHA OF NH-119D (PKG-III),NHAI,N24001697,,,,2-2023,2/2025,N.A.,1358.00,N.A.,228.72,22.00,2025-06,FR_JUNE_2025.pdf
222,FOUR LANING OF MUNGER TO MIRZACHAUKI (NH-80) SECTION FROM NEAR RASULPUR TO MIRZACHAUKI (DESIGN CH,NHAI,N24001698,,,,8-2022,8/2024,Dec-2025,1198.02,N.A.,43.77,,2025-06,FR_JUNE_2025.pdf
223,CONSTRUCTION OF 4 LANE ELEVATED SECTION AND AT- GRADE IMPROVEMENTS AT BEGUSARAI TOWN SECTION OF NH-3,NHAI,N24001699,,,,3-2022,12/2024,Dec-2025,312.58,N.A.,205.99,85.88,2025-06,FR_JUNE_2025.pdf
224,SIX LANNING OF AURANGABAD TO BIHAR/JHARKHAND BORDER SECTION OF NH-19 (OLD NH-2) FROM KM. 209.827 TO,NHAI,N24001700,,,,12-2021,3/2024,Dec-2024,552.55,553.00,378.25,86.60,2025-06,FR_JUNE_2025.pdf
225,FOUR LANING OF MUNGER TO MIRZACHAUKI (NH-80) SECTION FROM START OF EXISTING BHAGALPUR BYPASS TO RASU,NHAI,N24001701,,,,4-2022,4/2024,Sep-2025,1769.50,N.A.,69.23,,2025-06,FR_JUNE_2025.pdf
226,CONSTRUCTION OF 4 LANE ELEVATED HIGHWAY AND AT-GRADE IMPROVEMENTS AT GOPALGANJ TOWN FROM DESIGN CH:,NHAI,N24001702,,,,12-2021,9/2024,N.A.,184.90,185.00,166.56,99.78,2025-06,FR_JUNE_2025.pdf
227,6 L OF AURANGABAD TO BIHAR- JHARKHAND BORDER (CHORDAHA) SECTION FROM KM. 180.000 TO KM. 209.827 OF N,NHAI,N24001703,,,,2-2022,5/2025,N.A.,786.81,787.00,0.00,8.30,2025-06,FR_JUNE_2025.pdf
228,FOUR LANING OF MUNGER TO MIRZACHAUKI (NH-80) SECTION FROM KHARIA VILLAGE JUNCTION TO START OF EXISTI,NHAI,N24001704,,,,3-2021,3/2024,Sep-2025,1020.84,N.A.,163.19,,2025-06,FR_JUNE_2025.pdf
229,FOUR LANING OF MUNGER TO MIRZACHAUKI (NH-80) SECTION FROM MUNGER TO KHARIA VILLAGE JUNCTION DESIGN C,NHAI,N24001705,,,,3-2022,3/2024,Dec-2025,1485.66,N.A.,35.16,,2025-06,FR_JUNE_2025.pdf
230,BAKHTIYARPUR RAJAULI PKG-II FROM KM 54.405 TO KM 101.630 NH20,NHAI,N24001709,,,,9-2020,4/2023,Dec-2024,897.45,N.A.,1037.63,97.85,2025-06,FR_JUNE_2025.pdf
231,FOUR LANING OF PARARIA TO MOHANIA SECTION OF NH 319 (OLD NH 30) FROM KM. 54+530 (DESIGN CHAINAGE) TO,NHAI,N24001712,,,,8-2020,7/2023,May-2025,690.00,N.A.,770.73,98.90,2025-06,FR_JUNE_2025.pdf
232,BALANCE WORK OF TWO LANING WITH PAVED SHOULDER OF PIPRAKOTHI?MOTIHARI- RAXAUL SECTION OF NH-28A FRO,NHAI,N24001715,,,,12-2018,10/2020,N.A.,333.60,466.59,460.38,100.00,2025-06,FR_JUNE_2025.pdf
